Año,Cauca,Tecnicafé/Cajibio,Bogota,Santiago
1981,Normal,157 mm.,64 mm.,89 mm.
1982,Normal,61 mm.,56 mm.,249 mm.
1983,Normal,79 mm.,57 mm.,197 mm.
1984,Normal,168 mm.,100 mm.,313 mm.
1985,Malo,133 mm.,71 mm.,176 mm.
1986,Normal,60 mm.,59 mm.,117 mm.
1987,Normal,123 mm.,87 mm.,369 mm.
1988,Normal,149 mm.,81 mm.,97 mm.
1989,Normal,113 mm.,68 mm.,161 mm.
1990,Normal,99 mm.,51 mm.,102 mm.
1991,Normal,83 mm.,69 mm.,177 mm.
1992,Malo,75 mm.,70 mm.,112 mm.
1993,Normal,75 mm.,81 mm.,128 mm.
1994,Malo,61 mm.,72 mm.,132 mm.
1995,Malo,160 mm.,88 mm.,132 mm.
1996,Malo,103 mm.,69 mm.,106 mm.
1997,Normal,43 mm.,45 mm.,182 mm.
1998,Malo,134 mm.,83 mm.,56 mm.
1999,Malo,55 mm.,62 mm.,182 mm.
2000,Malo,121 mm.,90 mm.,84 mm.
2001,Normal,65 mm.,52 mm.,295 mm.
2002,Normal,124 mm.,57 mm.,188 mm.
2003,Normal,83 mm.,58 mm.,97 mm.
2004,Malo,80 mm.,72 mm.,185 mm.
2005,Malo,76 mm.,61 mm.,188 mm.
2006,Normal,77 mm.,54 mm.,304 mm.
2007,Normal,110 mm.,65 mm.,128 mm.
2008,Malo,155 mm.,116 mm.,184 mm.
2009,Malo,93 mm.,61 mm.,137 mm.
2010,Malo,187 mm.,136 mm.,105 mm.
2011,Malo,137 mm.,76 mm.,145 mm.
2012,Normal,41 mm.,72 mm.,81 mm.
2013,Malo,120 mm.,81 mm.,92 mm.
2014,Malo,68 mm.,40 mm.,121 mm.
2015,Malo,108 mm.,54 mm.,192 mm.
2016,Normal,57 mm.,80 mm.,110 mm.
2017,Normal,65 mm.,59 mm.,125 mm.
2018,Normal,60 mm.,67 mm.,92 mm.
2019,Normal,38 mm.,54 mm.,61 mm.
2020,Malo,159 mm.,144 mm.,114 mm.
2021,Malo,144 mm.,82 mm.,55 mm.
2022,Malo,164 mm.,94 mm.,145 mm.
